iShares Russell 2000 ETF,,,,,,,,,,,,,,
Fund Holdings as of,4-Nov-25,,,,,,,,,,,,,
Inception Date,22-May-00,,,,,,,,,,,,,
Shares Outstanding,"278,650,000.00",,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,
Other,-,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
ESNT,ESSENT GROUP LTD,Financials,Equity,"145,395,984.88",0.21,"145,395,984.88","2,350,024.00",61.87,United States,New York Stock Exchange Inc.,USD,1,USD,-
CIFR,CIPHER MINING INC,Information Technology,Equity,"143,671,268.03",0.21,"143,671,268.03","6,382,553.00",22.51,United States,NASDAQ,USD,1,USD,-
SITM,SITIME CORP,Information Technology,Equity,"143,248,881.77",0.21,"143,248,881.77","512,867.00",279.31,United States,NASDAQ,USD,1,USD,-
TRNO,TERRENO REALTY REIT CORP,Real Estate,Equity,"142,947,592.04",0.21,"142,947,592.04","2,468,444.00",57.91,United States,New York Stock Exchange Inc.,USD,1,USD,-
EPRT,ESSENTIAL PROPERTIES REALTY TRUST,Real Estate,Equity,"142,103,928.03",0.21,"142,103,928.03","4,805,679.00",29.57,United States,New York Stock Exchange Inc.,USD,1,USD,-
TMHC,TAYLOR MORRISON HOME CORP,Consumer Discretionary,Equity,"139,022,763.60",0.21,"139,022,763.60","2,350,740.00",59.14,United States,New York Stock Exchange Inc.,USD,1,USD,-
IRTC,IRHYTHM TECHNOLOGIES INC,Health Care,Equity,"138,898,629.20",0.2,"138,898,629.20","766,972.00",181.1,United States,NASDAQ,USD,1,USD,-
PIPR,PIPER SANDLER COMPANIES,Financials,Equity,"138,444,844.80",0.2,"138,444,844.80","424,157.00",326.4,United States,New York Stock Exchange Inc.,USD,1,USD,-
REZI,RESIDEO TECHNOLOGIES INC,Industrials,Equity,"137,785,325.34",0.2,"137,785,325.34","3,325,738.00",41.43,United States,New York Stock Exchange Inc.,USD,1,USD,-
MOGA,MOOG INC CLASS A,Industrials,Equity,"137,512,634.40",0.2,"137,512,634.40","677,736.00",202.9,United States,New York Stock Exchange Inc.,USD,1,USD,-
ESE,ESCO TECHNOLOGIES INC,Industrials,Equity,"137,490,123.80",0.2,"137,490,123.80","625,780.00",219.71,United States,New York Stock Exchange Inc.,USD,1,USD,-
BOOT,BOOT BARN HOLDINGS INC,Consumer Discretionary,Equity,"136,753,450.56",0.2,"136,753,450.56","740,128.00",184.77,United States,New York Stock Exchange Inc.,USD,1,USD,-
CWST,CASELLA WASTE SYSTEMS INC CLASS A,Industrials,Equity,"135,666,008.10",0.2,"135,666,008.10","1,508,238.00",89.95,United States,NASDAQ,USD,1,USD,-
SMTC,SEMTECH CORP,Information Technology,Equity,"135,069,285.16",0.2,"135,069,285.16","2,096,698.00",64.42,United States,NASDAQ,USD,1,USD,-
RHP,RYMAN HOSPITALITY PROPERTIES REIT,Real Estate,Equity,"134,926,152.34",0.2,"134,926,152.34","1,495,358.00",90.23,United States,New York Stock Exchange Inc.,USD,1,USD,-
TXNM,TXNM ENERGY INC,Utilities,Equity,"134,651,611.85",0.2,"134,651,611.85","2,364,383.00",56.95,United States,New York Stock Exchange Inc.,USD,1,USD,-
IBP,INSTALLED BUILDING PRODUCTS INC,Consumer Discretionary,Equity,"134,197,342.14",0.2,"134,197,342.14","563,807.00",238.02,United States,New York Stock Exchange Inc.,USD,1,USD,-
SOUN,SOUNDHOUND AI INC CLASS A,Information Technology,Equity,"133,341,537.28",0.2,"133,341,537.28","8,813,056.00",15.13,United States,NASDAQ,USD,1,USD,-
UFPI,UFP INDUSTRIES INC,Industrials,Equity,"133,333,153.60",0.2,"133,333,153.60","1,455,920.00",91.58,United States,NASDAQ,USD,1,USD,-
UEC,URANIUM ENERGY CORP,Energy,Equity,"133,019,666.00",0.2,"133,019,666.00","10,232,282.00",13,United States,Nyse Mkt Llc,USD,1,USD,-
BIPC,BROOKFIELD INFRASTRUCTURE CORP CLA,Utilities,Equity,"132,854,723.18",0.2,"132,854,723.18","2,896,963.00",45.86,Canada,New York Stock Exchange Inc.,USD,1,USD,-
RYTM,RHYTHM PHARMACEUTICALS INC,Health Care,Equity,"131,794,261.97",0.19,"131,794,261.97","1,255,303.00",104.99,United States,NASDAQ,USD,1,USD,-
GATX,GATX CORP,Industrials,Equity,"131,203,241.05",0.19,"131,203,241.05","862,555.00",152.11,United States,New York Stock Exchange Inc.,USD,1,USD,-
AXSM,AXSOME THERAPEUTICS INC,Health Care,Equity,"131,192,439.00",0.19,"131,192,439.00","972,300.00",134.93,United States,NASDAQ,USD,1,USD,-
BMI,BADGER METER INC,Information Technology,Equity,"130,451,640.12",0.19,"130,451,640.12","712,539.00",183.08,United States,New York Stock Exchange Inc.,USD,1,USD,-
SWX,SOUTHWEST GAS HOLDINGS INC,Utilities,Equity,"129,266,718.76",0.19,"129,266,718.76","1,569,914.00",82.34,United States,New York Stock Exchange Inc.,USD,1,USD,-
RDNT,RADNET INC,Health Care,Equity,"128,981,989.08",0.19,"128,981,989.08","1,643,292.00",78.49,United States,NASDAQ,USD,1,USD,-
ACHR,ARCHER AVIATION INC CLASS A,Industrials,Equity,"126,589,304.04",0.19,"126,589,304.04","13,241,559.00",9.56,United States,New York Stock Exchange Inc.,USD,1,USD,-
ROAD,CONSTRUCTION PARTNERS INC CLASS A,Industrials,Equity,"126,540,032.40",0.19,"126,540,032.40","1,129,620.00",112.02,United States,NASDAQ,USD,1,USD,-
PTCT,PTC THERAPEUTICS INC,Health Care,Equity,"126,445,023.28",0.19,"126,445,023.28","1,867,174.00",67.72,United States,NASDAQ,USD,1,USD,-
VLY,VALLEY NATIONAL,Financials,Equity,"126,410,874.00",0.19,"126,410,874.00","11,770,100.00",10.74,United States,NASDAQ,USD,1,USD,-
GBCI,GLACIER BANCORP INC,Financials,Equity,"126,145,827.18",0.19,"126,145,827.18","3,086,514.00",40.87,United States,New York Stock Exchange Inc.,USD,1,USD,-
POR,PORTLAND GENERAL ELECTRIC,Utilities,Equity,"125,804,384.79",0.19,"125,804,384.79","2,654,661.00",47.39,United States,New York Stock Exchange Inc.,USD,1,USD,-
SR,SPIRE INC,Utilities,Equity,"124,911,659.88",0.18,"124,911,659.88","1,412,868.00",88.41,United States,New York Stock Exchange Inc.,USD,1,USD,-
HOMB,HOME BANCSHARES INC,Financials,Equity,"124,415,967.76",0.18,"124,415,967.76","4,604,588.00",27.02,United States,New York Stock Exchange Inc.,USD,1,USD,-
MMSI,MERIT MEDICAL SYSTEMS INC,Health Care,Equity,"124,232,405.04",0.18,"124,232,405.04","1,404,232.00",88.47,United States,NASDAQ,USD,1,USD,-
LEU,CENTRUS ENERGY CORP CLASS A,Energy,Equity,"123,754,892.80",0.18,"123,754,892.80","378,224.00",327.2,United States,Nyse Mkt Llc,USD,1,USD,-
UBSI,UNITED BANKSHARES INC,Financials,Equity,"122,901,588.00",0.18,"122,901,588.00","3,413,933.00",36,United States,NASDAQ,USD,1,USD,-
KRYS,KRYSTAL BIOTECH INC,Health Care,Equity,"120,991,124.78",0.18,"120,991,124.78","595,253.00",203.26,United States,NASDAQ,USD,1,USD,-
ACIW,ACI WORLDWIDE INC,Information Technology,Equity,"120,695,444.10",0.18,"120,695,444.10","2,547,930.00",47.37,United States,NASDAQ,USD,1,USD,-
HWC,HANCOCK WHITNEY CORP,Financials,Equity,"120,355,086.72",0.18,"120,355,086.72","2,088,048.00",57.64,United States,NASDAQ,USD,1,USD,-
BCPC,BALCHEM CORP,Materials,Equity,"119,363,060.40",0.18,"119,363,060.40","785,490.00",151.96,United States,NASDAQ,USD,1,USD,-
ALKS,ALKERMES,Health Care,Equity,"118,578,558.66",0.17,"118,578,558.66","3,901,894.00",30.39,United States,NASDAQ,USD,1,USD,-
OGS,ONE GAS INC,Utilities,Equity,"118,506,743.13",0.17,"118,506,743.13","1,447,499.00",81.87,United States,New York Stock Exchange Inc.,USD,1,USD,-
KRG,KITE REALTY GROUP TRUST REIT,Real Estate,Equity,"118,474,629.10",0.17,"118,474,629.10","5,368,130.00",22.07,United States,New York Stock Exchange Inc.,USD,1,USD,-
GPI,GROUP AUTOMOTIVE INC,Consumer Discretionary,Equity,"118,069,103.82",0.17,"118,069,103.82","303,918.00",388.49,United States,New York Stock Exchange Inc.,USD,1,USD,-
TGTX,TG THERAPEUTICS INC,Health Care,Equity,"117,977,188.77",0.17,"117,977,188.77","3,489,417.00",33.81,United States,NASDAQ,USD,1,USD,-
FTDR,FRONTDOOR INC,Consumer Discretionary,Equity,"117,575,201.12",0.17,"117,575,201.12","1,788,488.00",65.74,United States,NASDAQ,USD,1,USD,-
ACA,ARCOSA INC,Industrials,Equity,"117,097,199.94",0.17,"117,097,199.94","1,167,586.00",100.29,United States,New York Stock Exchange Inc.,USD,1,USD,-
ITRI,ITRON INC,Information Technology,Equity,"116,551,385.28",0.17,"116,551,385.28","1,093,763.00",106.56,United States,NASDAQ,USD,1,USD,-
ABCB,AMERIS BANCORP,Financials,Equity,"115,610,493.60",0.17,"115,610,493.60","1,595,728.00",72.45,United States,New York Stock Exchange Inc.,USD,1,USD,-
GKOS,GLAUKOS CORP,Health Care,Equity,"115,471,848.15",0.17,"115,471,848.15","1,343,477.00",85.95,United States,New York Stock Exchange Inc.,USD,1,USD,-
MMS,MAXIMUS INC,Industrials,Equity,"114,269,438.40",0.17,"114,269,438.40","1,362,784.00",83.85,United States,New York Stock Exchange Inc.,USD,1,USD,-
STNE,STONECO LTD CLASS A,Financials,Equity,"113,921,920.34",0.17,"113,921,920.34","6,053,237.00",18.82,Brazil,NASDAQ,USD,1,USD,-
ENS,ENERSYS,Industrials,Equity,"113,884,629.04",0.17,"113,884,629.04","925,064.00",123.11,United States,New York Stock Exchange Inc.,USD,1,USD,-
PCVX,VAXCYTE INC,Health Care,Equity,"113,680,122.95",0.17,"113,680,122.95","2,749,217.00",41.35,United States,NASDAQ,USD,1,USD,-
